review_id,review_date,cloud,principal,role,privilege_level,mfa,decision,reviewer
IAM-00071,2026-03-12,Azure,user71@northstar.example,Contributor,Standard,No,Retain,reviewer7
IAM-00072,2026-03-13,Azure,user72@northstar.example,Contributor,Elevated,Yes,Retain,reviewer8
IAM-00073,2026-03-14,AWS,user73@northstar.example,Reader,Elevated,Yes,Remove,reviewer1
IAM-00074,2026-03-15,Azure,user74@northstar.example,Operator,Standard,Yes,Retain,reviewer2
IAM-00075,2026-03-16,AWS,user75@northstar.example,Contributor,Standard,Yes,Remove,reviewer3
IAM-00076,2026-03-17,Azure,user76@northstar.example,Operator,Elevated,No,Modify,reviewer4
IAM-00077,2026-03-18,AWS,user77@northstar.example,Operator,Elevated,No,Modify,reviewer5
IAM-00078,2026-03-19,AWS,user78@northstar.example,Contributor,Elevated,Yes,Remove,reviewer6
IAM-00079,2026-03-20,Azure,user79@northstar.example,Reader,Standard,No,Modify,reviewer7
IAM-00080,2026-03-21,AWS,user80@northstar.example,Administrator,Elevated,Yes,Remove,reviewer8
IAM-00081,2026-03-22,AWS,user81@northstar.example,Contributor,Elevated,Yes,Modify,reviewer1
IAM-00082,2026-03-23,Azure,user82@northstar.example,Operator,Elevated,Yes,Remove,reviewer2
IAM-00083,2026-03-24,AWS,user83@northstar.example,Reader,Elevated,Yes,Modify,reviewer3
IAM-00084,2026-03-25,Azure,user84@northstar.example,Reader,Standard,Yes,Retain,reviewer4
IAM-00085,2026-03-26,AWS,user85@northstar.example,Reader,Standard,No,Modify,reviewer5
IAM-00086,2026-03-27,AWS,user86@northstar.example,Operator,Standard,Yes,Retain,reviewer6
IAM-00087,2026-03-28,AWS,user87@northstar.example,Operator,Standard,Yes,Modify,reviewer7
IAM-00088,2026-03-29,AWS,user88@northstar.example,Administrator,Elevated,Yes,Modify,reviewer8
IAM-00089,2026-03-30,AWS,user89@northstar.example,Reader,Standard,Yes,Modify,reviewer1
IAM-00090,2026-03-31,AWS,user90@northstar.example,Administrator,Standard,No,Modify,reviewer2
IAM-00091,2026-04-01,AWS,user91@northstar.example,Operator,Standard,No,Retain,reviewer3
IAM-00092,2026-04-02,AWS,user92@northstar.example,Reader,Standard,Yes,Retain,reviewer4
IAM-00093,2026-04-03,Azure,user93@northstar.example,Contributor,Elevated,No,Retain,reviewer5
IAM-00094,2026-04-04,AWS,user94@northstar.example,Operator,Elevated,Yes,Modify,reviewer6
IAM-00095,2026-04-05,Azure,user95@northstar.example,Contributor,Elevated,Yes,Retain,reviewer7
IAM-00096,2026-04-06,Azure,user96@northstar.example,Reader,Standard,Yes,Retain,reviewer8
IAM-00097,2026-04-07,Azure,user97@northstar.example,Reader,Elevated,Yes,Retain,reviewer1
IAM-00098,2026-04-08,AWS,user98@northstar.example,Reader,Standard,No,Remove,reviewer2
IAM-00099,2026-04-09,Azure,user99@northstar.example,Operator,Standard,Yes,Remove,reviewer3
IAM-00100,2026-04-10,Azure,user100@northstar.example,Contributor,Elevated,Yes,Retain,reviewer4
IAM-00101,2026-04-11,AWS,user101@northstar.example,Contributor,Standard,No,Retain,reviewer5
IAM-00102,2026-04-12,AWS,user102@northstar.example,Contributor,Elevated,No,Modify,reviewer6
IAM-00103,2026-04-13,AWS,user103@northstar.example,Contributor,Elevated,Yes,Modify,reviewer7
IAM-00104,2026-04-14,Azure,user104@northstar.example,Operator,Standard,Yes,Remove,reviewer8
IAM-00105,2026-04-15,AWS,user105@northstar.example,Operator,Standard,No,Remove,reviewer1
IAM-00106,2026-04-16,Azure,user106@northstar.example,Contributor,Elevated,Yes,Modify,reviewer2
IAM-00107,2026-04-17,AWS,user107@northstar.example,Reader,Standard,Yes,Retain,reviewer3
IAM-00108,2026-04-18,Azure,user108@northstar.example,Reader,Standard,No,Retain,reviewer4
IAM-00109,2026-04-19,Azure,user109@northstar.example,Administrator,Standard,Yes,Retain,reviewer5
IAM-00110,2026-04-20,AWS,user110@northstar.example,Operator,Elevated,No,Retain,reviewer6
IAM-00111,2026-04-21,Azure,user111@northstar.example,Contributor,Elevated,Yes,Modify,reviewer7
IAM-00112,2026-04-22,Azure,user112@northstar.example,Contributor,Standard,No,Modify,reviewer8
IAM-00113,2026-04-23,Azure,user113@northstar.example,Administrator,Standard,Yes,Remove,reviewer1
IAM-00114,2026-04-24,AWS,user114@northstar.example,Contributor,Standard,No,Retain,reviewer2
IAM-00115,2026-04-25,Azure,user115@northstar.example,Reader,Elevated,Yes,Retain,reviewer3
IAM-00116,2026-04-26,AWS,user116@northstar.example,Operator,Standard,No,Modify,reviewer4
IAM-00117,2026-04-27,Azure,user117@northstar.example,Reader,Elevated,Yes,Retain,reviewer5
IAM-00118,2026-04-28,AWS,user118@northstar.example,Reader,Elevated,Yes,Retain,reviewer6
IAM-00119,2026-04-29,Azure,user119@northstar.example,Administrator,Elevated,No,Retain,reviewer7
IAM-00120,2026-04-30,Azure,user120@northstar.example,Contributor,Elevated,Yes,Retain,reviewer8
IAM-00121,2026-05-01,AWS,user121@northstar.example,Contributor,Elevated,No,Modify,reviewer1
IAM-00122,2026-05-02,Azure,user122@northstar.example,Contributor,Elevated,Yes,Remove,reviewer2
IAM-00123,2026-05-03,AWS,user123@northstar.example,Contributor,Elevated,No,Remove,reviewer3
IAM-00124,2026-05-04,AWS,user124@northstar.example,Contributor,Elevated,Yes,Retain,reviewer4
IAM-00125,2026-05-05,Azure,user125@northstar.example,Contributor,Standard,Yes,Retain,reviewer5
IAM-00126,2026-05-06,AWS,user126@northstar.example,Administrator,Elevated,No,Retain,reviewer6
IAM-00127,2026-05-07,Azure,user127@northstar.example,Operator,Standard,No,Retain,reviewer7
IAM-00128,2026-05-08,Azure,user128@northstar.example,Reader,Standard,Yes,Modify,reviewer8
IAM-00129,2026-05-09,AWS,user129@northstar.example,Administrator,Standard,Yes,Remove,reviewer1
IAM-00130,2026-05-10,Azure,user130@northstar.example,Contributor,Elevated,Yes,Modify,reviewer2
IAM-00131,2026-05-11,Azure,user131@northstar.example,Reader,Elevated,Yes,Retain,reviewer3
IAM-00132,2026-05-12,AWS,user132@northstar.example,Administrator,Elevated,No,Remove,reviewer4
IAM-00133,2026-05-13,Azure,user133@northstar.example,Contributor,Standard,Yes,Remove,reviewer5
IAM-00134,2026-05-14,Azure,user134@northstar.example,Administrator,Elevated,Yes,Modify,reviewer6
IAM-00135,2026-05-15,Azure,user135@northstar.example,Reader,Elevated,Yes,Modify,reviewer7
IAM-00136,2026-05-16,AWS,user136@northstar.example,Reader,Elevated,No,Modify,reviewer8
IAM-00137,2026-05-17,Azure,user137@northstar.example,Reader,Standard,Yes,Retain,reviewer1
IAM-00138,2026-05-18,AWS,user138@northstar.example,Operator,Elevated,Yes,Retain,reviewer2
IAM-00139,2026-05-19,Azure,user139@northstar.example,Operator,Standard,Yes,Remove,reviewer3
IAM-00140,2026-05-20,Azure,user140@northstar.example,Reader,Elevated,No,Retain,reviewer4
IAM-00141,2026-05-21,Azure,user141@northstar.example,Reader,Standard,No,Retain,reviewer5
IAM-00142,2026-05-22,Azure,user142@northstar.example,Reader,Elevated,Yes,Remove,reviewer6
IAM-00143,2026-05-23,Azure,user143@northstar.example,Reader,Elevated,Yes,Remove,reviewer7
IAM-00144,2026-05-24,Azure,user144@northstar.example,Administrator,Standard,No,Modify,reviewer8
IAM-00145,2026-05-25,Azure,user145@northstar.example,Contributor,Elevated,Yes,Remove,reviewer1
IAM-00146,2026-05-26,AWS,user146@northstar.example,Contributor,Elevated,Yes,Remove,reviewer2
IAM-00147,2026-05-27,AWS,user147@northstar.example,Contributor,Elevated,No,Remove,reviewer3
IAM-00148,2026-05-28,AWS,user148@northstar.example,Contributor,Elevated,No,Remove,reviewer4
IAM-00149,2026-05-29,AWS,user149@northstar.example,Contributor,Standard,Yes,Remove,reviewer5
IAM-00150,2026-05-30,AWS,user150@northstar.example,Reader,Standard,Yes,Remove,reviewer6
IAM-00151,2026-05-31,Azure,user151@northstar.example,Operator,Elevated,Yes,Remove,reviewer7
IAM-00152,2026-06-01,AWS,user152@northstar.example,Reader,Standard,Yes,Modify,reviewer8
IAM-00153,2026-06-02,AWS,user153@northstar.example,Operator,Standard,Yes,Modify,reviewer1
IAM-00154,2026-06-03,Azure,user154@northstar.example,Reader,Standard,Yes,Remove,reviewer2
IAM-00155,2026-06-04,AWS,user155@northstar.example,Reader,Elevated,Yes,Retain,reviewer3
IAM-00156,2026-06-05,Azure,user156@northstar.example,Administrator,Elevated,Yes,Modify,reviewer4
IAM-00157,2026-06-06,Azure,user157@northstar.example,Operator,Standard,Yes,Remove,reviewer5
IAM-00158,2026-06-07,Azure,user158@northstar.example,Contributor,Standard,Yes,Remove,reviewer6
IAM-00159,2026-06-08,AWS,user159@northstar.example,Operator,Elevated,Yes,Modify,reviewer7
IAM-00160,2026-06-09,Azure,user160@northstar.example,Reader,Standard,No,Remove,reviewer8
IAM-00161,2026-06-10,AWS,user161@northstar.example,Contributor,Standard,Yes,Retain,reviewer1
IAM-00162,2026-06-11,Azure,user162@northstar.example,Reader,Standard,Yes,Retain,reviewer2
IAM-00163,2026-06-12,Azure,user163@northstar.example,Operator,Elevated,Yes,Retain,reviewer3
IAM-00164,2026-06-13,Azure,user164@northstar.example,Administrator,Standard,Yes,Modify,reviewer4
IAM-00165,2026-06-14,Azure,user165@northstar.example,Administrator,Elevated,No,Remove,reviewer5
IAM-00166,2026-06-15,Azure,user166@northstar.example,Contributor,Elevated,No,Remove,reviewer6
IAM-00167,2026-06-16,AWS,user167@northstar.example,Contributor,Standard,No,Retain,reviewer7
IAM-00168,2026-06-17,AWS,user168@northstar.example,Reader,Standard,Yes,Retain,reviewer8
IAM-00169,2026-06-18,Azure,user169@northstar.example,Contributor,Standard,No,Remove,reviewer1
IAM-00170,2026-06-19,Azure,user170@northstar.example,Administrator,Standard,Yes,Retain,reviewer2
IAM-00171,2026-06-20,AWS,user171@northstar.example,Contributor,Standard,Yes,Modify,reviewer3
IAM-00172,2026-06-21,AWS,user172@northstar.example,Operator,Standard,No,Remove,reviewer4
IAM-00173,2026-06-22,AWS,user173@northstar.example,Contributor,Elevated,Yes,Modify,reviewer5
IAM-00174,2026-06-23,AWS,user174@northstar.example,Operator,Standard,Yes,Retain,reviewer6
IAM-00175,2026-06-24,AWS,user175@northstar.example,Operator,Standard,No,Modify,reviewer7
IAM-00176,2026-06-25,Azure,user176@northstar.example,Administrator,Elevated,Yes,Retain,reviewer8
IAM-00177,2026-06-26,Azure,user177@northstar.example,Contributor,Standard,No,Remove,reviewer1
IAM-00178,2026-06-27,AWS,user178@northstar.example,Operator,Standard,Yes,Retain,reviewer2
IAM-00179,2026-06-28,Azure,user179@northstar.example,Contributor,Standard,Yes,Retain,reviewer3
IAM-00180,2026-06-29,Azure,user180@northstar.example,Reader,Standard,No,Remove,reviewer4
IAM-00181,2026-01-01,AWS,user181@northstar.example,Contributor,Elevated,No,Remove,reviewer5
IAM-00182,2026-01-02,AWS,user182@northstar.example,Contributor,Standard,No,Remove,reviewer6
IAM-00183,2026-01-03,AWS,user183@northstar.example,Operator,Elevated,Yes,Retain,reviewer7
IAM-00184,2026-01-04,AWS,user184@northstar.example,Operator,Standard,Yes,Modify,reviewer8
IAM-00185,2026-01-05,AWS,user185@northstar.example,Operator,Elevated,No,Retain,reviewer1
IAM-00186,2026-01-06,Azure,user186@northstar.example,Operator,Standard,No,Remove,reviewer2
IAM-00187,2026-01-07,Azure,user187@northstar.example,Administrator,Elevated,Yes,Modify,reviewer3
IAM-00188,2026-01-08,AWS,user188@northstar.example,Administrator,Elevated,Yes,Remove,reviewer4
IAM-00189,2026-01-09,Azure,user189@northstar.example,Administrator,Standard,Yes,Modify,reviewer5
IAM-00190,2026-01-10,AWS,user190@northstar.example,Administrator,Elevated,No,Modify,reviewer6
IAM-00191,2026-01-11,AWS,user191@northstar.example,Operator,Standard,No,Modify,reviewer7
IAM-00192,2026-01-12,Azure,user192@northstar.example,Administrator,Elevated,No,Remove,reviewer8
IAM-00193,2026-01-13,Azure,user193@northstar.example,Administrator,Elevated,Yes,Modify,reviewer1
IAM-00194,2026-01-14,Azure,user194@northstar.example,Contributor,Elevated,Yes,Remove,reviewer2
IAM-00195,2026-01-15,Azure,user195@northstar.example,Administrator,Standard,Yes,Remove,reviewer3
IAM-00196,2026-01-16,Azure,user196@northstar.example,Administrator,Standard,Yes,Retain,reviewer4
IAM-00197,2026-01-17,Azure,user197@northstar.example,Contributor,Standard,Yes,Retain,reviewer5
IAM-00198,2026-01-18,Azure,user198@northstar.example,Operator,Standard,Yes,Retain,reviewer6
IAM-00199,2026-01-19,Azure,user199@northstar.example,Contributor,Standard,Yes,Retain,reviewer7
IAM-00200,2026-01-20,AWS,user200@northstar.example,Administrator,Elevated,Yes,Modify,reviewer8
IAM-00201,2026-01-21,AWS,user201@northstar.example,Reader,Elevated,Yes,Retain,reviewer1
IAM-00202,2026-01-22,AWS,user202@northstar.example,Administrator,Elevated,Yes,Remove,reviewer2
IAM-00203,2026-01-23,AWS,user203@northstar.example,Contributor,Standard,No,Remove,reviewer3
IAM-00204,2026-01-24,AWS,user204@northstar.example,Reader,Standard,No,Modify,reviewer4
IAM-00205,2026-01-25,AWS,user205@northstar.example,Operator,Standard,No,Remove,reviewer5
IAM-00206,2026-01-26,Azure,user206@northstar.example,Operator,Standard,Yes,Retain,reviewer6
IAM-00207,2026-01-27,Azure,user207@northstar.example,Contributor,Standard,No,Retain,reviewer7
IAM-00208,2026-01-28,Azure,user208@northstar.example,Operator,Standard,Yes,Remove,reviewer8
IAM-00209,2026-01-29,Azure,user209@northstar.example,Contributor,Standard,No,Modify,reviewer1
IAM-00210,2026-01-30,AWS,user210@northstar.example,Reader,Standard,Yes,Remove,reviewer2
IAM-00211,2026-01-31,AWS,user211@northstar.example,Administrator,Elevated,Yes,Modify,reviewer3
IAM-00212,2026-02-01,Azure,user212@northstar.example,Administrator,Elevated,Yes,Remove,reviewer4
IAM-00213,2026-02-02,AWS,user213@northstar.example,Reader,Elevated,No,Remove,reviewer5
IAM-00214,2026-02-03,AWS,user214@northstar.example,Operator,Standard,Yes,Modify,reviewer6
IAM-00215,2026-02-04,Azure,user215@northstar.example,Operator,Elevated,Yes,Modify,reviewer7
IAM-00216,2026-02-05,AWS,user216@northstar.example,Reader,Elevated,Yes,Modify,reviewer8
IAM-00217,2026-02-06,AWS,user217@northstar.example,Operator,Standard,Yes,Remove,reviewer1
IAM-00218,2026-02-07,Azure,user218@northstar.example,Administrator,Standard,No,Modify,reviewer2
IAM-00219,2026-02-08,AWS,user219@northstar.example,Reader,Elevated,Yes,Modify,reviewer3
IAM-00220,2026-02-09,AWS,user220@northstar.example,Administrator,Standard,No,Modify,reviewer4
IAM-00221,2026-02-10,Azure,user221@northstar.example,Contributor,Standard,Yes,Modify,reviewer5
IAM-00222,2026-02-11,AWS,user222@northstar.example,Reader,Standard,Yes,Remove,reviewer6
IAM-00223,2026-02-12,Azure,user223@northstar.example,Reader,Elevated,No,Modify,reviewer7
IAM-00224,2026-02-13,Azure,user224@northstar.example,Administrator,Elevated,Yes,Retain,reviewer8
IAM-00225,2026-02-14,AWS,user225@northstar.example,Administrator,Elevated,Yes,Retain,reviewer1
IAM-00226,2026-02-15,AWS,user226@northstar.example,Reader,Elevated,Yes,Modify,reviewer2
IAM-00227,2026-02-16,AWS,user227@northstar.example,Administrator,Standard,Yes,Retain,reviewer3
IAM-00228,2026-02-17,AWS,user228@northstar.example,Reader,Standard,No,Modify,reviewer4
IAM-00229,2026-02-18,Azure,user229@northstar.example,Reader,Standard,Yes,Modify,reviewer5
IAM-00230,2026-02-19,AWS,user230@northstar.example,Contributor,Elevated,Yes,Remove,reviewer6
IAM-00231,2026-02-20,Azure,user231@northstar.example,Contributor,Standard,Yes,Remove,reviewer7
IAM-00232,2026-02-21,Azure,user232@northstar.example,Reader,Elevated,Yes,Remove,reviewer8
IAM-00233,2026-02-22,AWS,user233@northstar.example,Reader,Standard,Yes,Retain,reviewer1
IAM-00234,2026-02-23,Azure,user234@northstar.example,Administrator,Standard,Yes,Modify,reviewer2
IAM-00235,2026-02-24,Azure,user235@northstar.example,Operator,Standard,Yes,Remove,reviewer3
IAM-00236,2026-02-25,AWS,user236@northstar.example,Reader,Standard,Yes,Remove,reviewer4
IAM-00237,2026-02-26,AWS,user237@northstar.example,Reader,Standard,Yes,Retain,reviewer5
IAM-00238,2026-02-27,AWS,user238@northstar.example,Reader,Standard,No,Modify,reviewer6
IAM-00239,2026-02-28,Azure,user239@northstar.example,Contributor,Elevated,Yes,Modify,reviewer7
IAM-00240,2026-03-01,AWS,user240@northstar.example,Operator,Standard,Yes,Retain,reviewer8
IAM-00241,2026-03-02,AWS,user241@northstar.example,Contributor,Standard,Yes,Remove,reviewer1
IAM-00242,2026-03-03,Azure,user242@northstar.example,Administrator,Elevated,Yes,Remove,reviewer2
IAM-00243,2026-03-04,Azure,user243@northstar.example,Contributor,Standard,Yes,Remove,reviewer3
IAM-00244,2026-03-05,Azure,user244@northstar.example,Administrator,Standard,Yes,Remove,reviewer4
IAM-00245,2026-03-06,AWS,user245@northstar.example,Reader,Standard,No,Modify,reviewer5
IAM-00246,2026-03-07,Azure,user246@northstar.example,Administrator,Elevated,Yes,Modify,reviewer6
IAM-00247,2026-03-08,AWS,user247@northstar.example,Administrator,Elevated,Yes,Retain,reviewer7
IAM-00248,2026-03-09,AWS,user248@northstar.example,Reader,Elevated,Yes,Remove,reviewer8
IAM-00249,2026-03-10,AWS,user249@northstar.example,Contributor,Elevated,Yes,Retain,reviewer1
IAM-00250,2026-03-11,AWS,user250@northstar.example,Administrator,Elevated,Yes,Remove,reviewer2
IAM-00251,2026-03-12,Azure,user251@northstar.example,Administrator,Standard,Yes,Retain,reviewer3
IAM-00252,2026-03-13,AWS,user252@northstar.example,Contributor,Elevated,Yes,Remove,reviewer4
IAM-00253,2026-03-14,Azure,user253@northstar.example,Operator,Elevated,No,Modify,reviewer5
IAM-00254,2026-03-15,Azure,user254@northstar.example,Reader,Standard,No,Retain,reviewer6
IAM-00255,2026-03-16,AWS,user255@northstar.example,Reader,Elevated,No,Retain,reviewer7
IAM-00256,2026-03-17,AWS,user256@northstar.example,Administrator,Elevated,No,Modify,reviewer8
IAM-00257,2026-03-18,Azure,user257@northstar.example,Contributor,Elevated,No,Retain,reviewer1
IAM-00258,2026-03-19,AWS,user258@northstar.example,Contributor,Standard,No,Remove,reviewer2
IAM-00259,2026-03-20,AWS,user259@northstar.example,Operator,Standard,Yes,Retain,reviewer3
IAM-00260,2026-03-21,Azure,user260@northstar.example,Contributor,Standard,No,Modify,reviewer4
IAM-00261,2026-03-22,AWS,user261@northstar.example,Administrator,Standard,Yes,Retain,reviewer5
IAM-00262,2026-03-23,AWS,user262@northstar.example,Reader,Standard,No,Modify,reviewer6
IAM-00263,2026-03-24,Azure,user263@northstar.example,Administrator,Elevated,Yes,Retain,reviewer7
IAM-00264,2026-03-25,AWS,user264@northstar.example,Administrator,Elevated,Yes,Retain,reviewer8
IAM-00265,2026-03-26,Azure,user265@northstar.example,Contributor,Standard,Yes,Modify,reviewer1
IAM-00266,2026-03-27,Azure,user266@northstar.example,Reader,Elevated,Yes,Retain,reviewer2
IAM-00267,2026-03-28,Azure,user267@northstar.example,Contributor,Elevated,Yes,Modify,reviewer3
IAM-00268,2026-03-29,AWS,user268@northstar.example,Contributor,Elevated,Yes,Retain,reviewer4
IAM-00269,2026-03-30,Azure,user269@northstar.example,Contributor,Elevated,No,Modify,reviewer5
IAM-00270,2026-03-31,AWS,user270@northstar.example,Reader,Elevated,No,Modify,reviewer6
IAM-00271,2026-04-01,AWS,user271@northstar.example,Contributor,Elevated,Yes,Remove,reviewer7
IAM-00272,2026-04-02,Azure,user272@northstar.example,Reader,Standard,Yes,Modify,reviewer8
IAM-00273,2026-04-03,AWS,user273@northstar.example,Contributor,Elevated,Yes,Retain,reviewer1
IAM-00274,2026-04-04,Azure,user274@northstar.example,Administrator,Standard,Yes,Retain,reviewer2
IAM-00275,2026-04-05,AWS,user275@northstar.example,Operator,Elevated,Yes,Modify,reviewer3
IAM-00276,2026-04-06,Azure,user276@northstar.example,Administrator,Elevated,Yes,Retain,reviewer4
IAM-00277,2026-04-07,AWS,user277@northstar.example,Reader,Elevated,Yes,Retain,reviewer5
IAM-00278,2026-04-08,Azure,user278@northstar.example,Contributor,Elevated,Yes,Remove,reviewer6
IAM-00279,2026-04-09,Azure,user279@northstar.example,Contributor,Standard,Yes,Retain,reviewer7
IAM-00280,2026-04-10,AWS,user280@northstar.example,Administrator,Standard,No,Remove,reviewer8
IAM-00281,2026-04-11,Azure,user281@northstar.example,Administrator,Elevated,Yes,Remove,reviewer1
IAM-00282,2026-04-12,AWS,user282@northstar.example,Administrator,Standard,Yes,Modify,reviewer2
